,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
76,76,76,76,91,10681,Gio Urshela,MIN,30,0.262,0.304,0.423,0.807,570482,142,Rony Garcia,1.0,Target Field,26.0,665621,4.41,7.06,8.47,1.04,0.213,0.75,0.333,1.0,0.333,0.0,True
77,77,77,77,92,13590,Jesse Winker,SEA,28,0.229,0.348,0.363,0.815,608385,136,Paul Blackburn,1.0,T-Mobile Park,27.0,621112,4.28,8.89,7.19,1.26,0.255,0.4,0.0,0.25,0.0,0.25,False
78,78,78,78,93,16512,Isiah Kiner-Falefa,NYY,27,0.268,0.312,0.315,0.892,643396,147,Tyler Wells,1.0,Yankee Stadium,6.0,669330,3.9,7.8,6.46,1.11,0.232,0.4,0.0,0.25,0.0,0.25,False
79,79,79,79,94,7859,Charlie Blackmon,COL,35,0.263,0.314,0.446,0.816,453568,115,Zach Thompson,0.0,PNC Park,10.0,605507,5.08,9.66,6.18,1.47,0.269,0.25,0.25,0.0,0.25,0.5,True
80,80,80,80,95,24655,Owen Miller,CLE,25,0.238,0.296,0.359,0.8370000000000001,680911,114,Cristian Javier,0.0,Minute Maid Park,32.0,664299,3.14,6.19,11.84,1.05,0.191,0.25,0.0,0.5,0.0,0.25,False
81,81,81,81,96,9847,Andrew McCutchen,MIL,35,0.255,0.325,0.4,0.804,457705,158,Yu Darvish,0.0,Petco Park,31.0,506433,3.28,7.24,8.84,1.0,0.217,0.0,0.2,0.25,0.6,0.0,True
82,82,82,82,97,16572,Connor Joe,COL,29,0.246,0.347,0.363,0.809,656582,115,Zach Thompson,0.0,PNC Park,10.0,605507,5.08,9.66,6.18,1.47,0.269,0.25,0.4,0.0,0.6,0.2,True
83,83,83,83,98,10243,Randal Grichuk,COL,30,0.27,0.312,0.435,0.768,545341,115,Zach Thompson,0.0,PNC Park,10.0,605507,5.08,9.66,6.18,1.47,0.269,0.333,0.0,0.25,0.5,0.25,True
84,84,84,84,100,11342,Jesus Aguilar,MIA,32,0.241,0.287,0.391,0.745,542583,146,Drew Rasmussen,0.0,Tropicana Field,21.0,656876,2.96,8.08,7.39,1.17,0.238,0.25,0.5,0.0,0.4,0.0,False
85,85,85,85,101,10556,Cesar Hernandez,WSN,32,0.238,0.302,0.303,0.8109999999999999,514917,120,Julio Urias,1.0,Nationals Park,29.0,628711,2.49,6.97,8.58,0.97,0.21,0.2,0.333,0.5,0.25,0.0,True
86,86,86,86,102,19198,Yuli Gurriel,HOU,38,0.238,0.287,0.38,0.86,493329,117,Cal Quantrill,1.0,Minute Maid Park,32.0,615698,3.88,9.0,5.78,1.28,0.265,0.0,0.0,0.25,0.0,0.0,True
87,87,87,87,103,18607,Jared Walsh,LAA,28,0.225,0.27,0.392,0.753,665120,108,Glenn Otto,1.0,Angel Stadium,4.0,657248,5.31,8.19,7.38,1.41,0.247,0.5,0.0,0.0,0.5,0.0,True
88,88,88,88,104,5760,Avisail Garcia,MIA,31,0.232,0.269,0.322,0.654,541645,146,Drew Rasmussen,0.0,Tropicana Field,21.0,656876,2.96,8.08,7.39,1.17,0.238,0.0,0.0,0.25,0.25,0.0,True
89,89,89,89,105,4314,Joey Votto,CIN,38,0.215,0.331,0.389,0.725,458015,113,Kyle Hendricks,1.0,Great American Ball Park,8.0,543294,4.8,9.07,7.04,1.29,0.26,0.333,0.0,0.333,0.25,0.25,True
90,90,90,90,106,11200,Kole Calhoun,TEX,34,0.211,0.269,0.363,0.654,594777,140,Reid Detmers,0.0,Angel Stadium,4.0,672282,3.44,6.27,8.29,1.04,0.196,0.0,0.25,0.25,0.25,0.25,True
91,91,91,91,107,2434,Nelson Cruz,WSN,41,0.233,0.318,0.342,0.7020000000000001,443558,120,Julio Urias,1.0,Nationals Park,29.0,628711,2.49,6.97,8.58,0.97,0.21,0.6,0.25,0.667,0.333,0.5,True
92,92,92,92,108,12179,Maikel Franco,WSN,29,0.229,0.256,0.338,0.742,596748,120,Julio Urias,1.0,Nationals Park,29.0,628711,2.49,6.97,8.58,0.97,0.21,0.0,0.0,0.5,0.25,0.25,True
93,93,93,93,109,1744,Miguel Cabrera,DET,39,0.268,0.317,0.331,0.7440000000000001,408234,116,Dylan Bundy,0.0,Target Field,26.0,605164,5.01,9.74,7.14,1.3,0.272,0.667,0.4,0.25,0.0,0.0,False
94,94,94,94,110,11737,Nick Castellanos,PHI,30,0.257,0.305,0.381,0.6970000000000001,592206,143,Charlie Morton,0.0,Truist Park,12.0,450203,4.26,7.63,10.35,1.21,0.23,0.2,0.0,0.5,0.0,0.0,False
95,95,95,95,111,10324,Marcell Ozuna,ATL,31,0.213,0.264,0.388,0.742,542303,144,Ranger Suarez,1.0,Truist Park,12.0,624133,3.68,8.97,7.62,1.37,0.258,0.25,0.5,0.25,0.25,0.4,True
