,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
35,19918,Daulton Varsho,ARI,25,0.241,0.315,0.43,0.782,662139,109,Shane Bieber,0,Progressive Field,7,669456,3.21,7.86,9.16,1.09,.233,0.0,0.5,0.0,0.333,0.5,True
36,18577,Ke'Bryan Hayes,PIT,25,0.251,0.323,0.358,0.816,663647,134,Freddy Peralta,1,PNC Park,10,642547,4.37,7.42,10.84,1.14,.219,0.0,0.0,0.333,0.0,0.25,True
39,12552,Eugenio Suarez,SEA,30,0.226,0.33,0.414,0.6759999999999999,553993,136,Gerrit Cole,0,Yankee Stadium,6,543037,3.38,7.03,11.58,1.02,.211,0.5,0.333,0.25,0.333,0.0,True
40,27506,Ha-seong Kim,SDP,26,0.249,0.325,0.374,0.83,673490,135,Chad Kuhl,1,Petco Park,31,641771,5.16,9.70,6.64,1.52,.273,0.8,0.0,0.0,0.333,0.333,True
41,17548,Taylor Ward,LAA,28,0.266,0.356,0.453,0.782,621493,108,James Kaprielian,1,Angel Stadium,4,621076,4.38,7.97,6.28,1.32,.235,0.333,1.0,0.0,0.0,0.0,False
46,16472,Rhys Hoskins,PHI,29,0.248,0.338,0.484,0.7609999999999999,656555,143,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,.230,0.0,0.2,0.2,1.0,0.4,False
48,9241,Starling Marte,NYM,33,0.292,0.343,0.458,0.775,516782,121,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.25,0.25,0.0,0.6,0.4,True
49,16578,Yandy Diaz,TBR,30,0.274,0.389,0.388,0.87,650490,139,Yusei Kikuchi,1,Tropicana Field,21,579328,5.13,8.20,10.03,1.49,.244,0.0,0.25,0.25,0.6,0.0,False
50,13419,Christian Walker,ARI,31,0.213,0.313,0.456,0.774,572233,109,Shane Bieber,0,Progressive Field,7,669456,3.21,7.86,9.16,1.09,.233,0.25,0.4,0.25,0.0,0.0,False
51,19612,Bo Bichette,TOR,24,0.262,0.302,0.433,0.7759999999999999,666182,141,Jalen Beeks,0,Tropicana Field,21,656222,2.35,7.24,10.76,1.20,.219,0.25,0.25,0.0,0.0,0.5,False
52,3473,Anthony Rizzo,NYY,32,0.224,0.342,0.504,0.7959999999999999,519203,147,Luis Castillo,1,Yankee Stadium,6,622491,1.84,4.91,9.20,0.89,.163,0.333,0.25,0.5,0.5,0.0,False
