,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
73,73,73,73,73,73,86,6153,Eduardo Escobar,NYM,33,0.22,0.273,0.39,0.753,500871,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.0,0.333,0.25,0.333,0.25,True
74,74,74,74,74,74,87,15223,Adam Frazier,SEA,30,0.243,0.306,0.31,0.878,624428,136,Dallas Keuchel,0.0,Guaranteed Rate Field,23.0,572971,9.64,13.02,8.68,1.82,0.329,0.25,0.0,0.4,0.2,0.0,False
75,75,75,75,75,75,88,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Nathan Eovaldi,1.0,Comerica Park,25.0,543135,4.23,9.51,8.94,1.23,0.263,0.25,0.25,0.0,0.25,0.333,True
76,76,76,76,76,76,89,19290,Randy Arozarena,TBR,27,0.256,0.317,0.416,0.7240000000000001,668227,139,Frankie Montas,1.0,Tropicana Field,21.0,593423,18.0,15.0,6.0,2.67,0.385,0.167,0.0,0.25,0.5,0.0,False
77,77,77,77,77,77,90,17027,Alex Verdugo,BOS,26,0.272,0.312,0.389,0.863,657077,111,Eduardo Rodriguez,0.0,Comerica Park,25.0,593958,4.38,8.08,7.85,1.33,0.233,0.0,0.0,0.333,0.667,0.4,True
78,78,78,78,78,78,91,13301,Max Muncy,LAD,31,0.178,0.316,0.349,0.753,571970,119,Chris Paddack,0.0,Target Field,26.0,663978,4.03,10.07,8.06,1.21,0.284,0.0,0.0,0.0,0.2,0.0,True
79,79,79,79,79,79,92,26197,Andrew Vaughn,CHW,24,0.298,0.348,0.464,0.826,683734,145,Robbie Ray,1.0,Guaranteed Rate Field,23.0,592662,3.96,7.63,10.34,1.19,0.229,0.5,0.5,0.25,0.0,0.0,True
80,80,80,80,80,80,93,14813,Kyle Farmer,CIN,31,0.252,0.326,0.368,0.8240000000000001,571657,113,Triston McKenzie,1.0,Great American Ball Park,8.0,663474,3.16,6.33,8.51,0.96,0.197,0.5,0.667,0.0,0.25,0.5,False
81,81,81,81,81,81,95,15679,Rowdy Tellez,MIL,27,0.238,0.323,0.475,0.797,642133,158,John Means,0.0,Oriole Park at Camden Yards,30.0,607644,3.38,9.0,7.88,1.25,0.258,0.0,0.0,0.333,0.5,0.0,True
82,82,82,82,82,82,96,10681,Gio Urshela,MIN,30,0.262,0.304,0.423,0.807,570482,142,Clayton Kershaw,1.0,Target Field,26.0,477132,2.64,7.28,9.28,0.98,0.218,0.0,0.25,0.5,0.333,0.0,False
83,83,83,83,83,83,97,13590,Jesse Winker,SEA,28,0.229,0.348,0.363,0.815,608385,136,Dallas Keuchel,0.0,Guaranteed Rate Field,23.0,572971,9.64,13.02,8.68,1.82,0.329,0.333,0.0,0.0,0.0,0.5,False
84,84,84,84,84,84,98,16512,Isiah Kiner-Falefa,NYY,27,0.268,0.312,0.315,0.892,643396,147,Jose Berrios,1.0,Yankee Stadium,6.0,621244,5.19,9.92,8.16,1.35,0.275,0.0,0.333,0.0,0.0,0.0,False
85,85,85,85,85,85,99,9847,Andrew McCutchen,MIL,35,0.255,0.325,0.4,0.804,457705,158,John Means,0.0,Oriole Park at Camden Yards,30.0,607644,3.38,9.0,7.88,1.25,0.258,0.5,0.25,0.0,0.333,0.4,False
86,86,86,86,86,86,100,22799,Geraldo Perdomo,ARI,22,0.205,0.298,0.286,0.812,672695,109,Framber Valdez,1.0,Chase Field,13.0,664285,2.87,7.13,8.0,1.15,0.217,0.0,0.0,0.0,0.333,0.0,False
87,87,87,87,87,87,103,10556,Cesar Hernandez,WSN,32,0.238,0.302,0.303,0.8109999999999999,514917,120,Max Fried,0.0,Truist Park,12.0,608331,2.6,8.07,8.26,1.08,0.237,0.25,0.4,0.0,0.25,0.25,True
88,88,88,88,88,88,104,19198,Yuli Gurriel,HOU,38,0.238,0.287,0.38,0.86,493329,117,Merrill Kelly,0.0,Chase Field,13.0,518876,2.86,7.48,7.41,1.13,0.226,0.25,0.25,0.0,0.0,0.0,False
89,89,89,89,89,89,105,4314,Joey Votto,CIN,38,0.215,0.331,0.389,0.725,458015,113,Triston McKenzie,1.0,Great American Ball Park,8.0,663474,3.16,6.33,8.51,0.96,0.197,0.0,0.0,0.25,0.5,0.25,False
90,90,90,90,90,90,106,2434,Nelson Cruz,WSN,41,0.233,0.318,0.342,0.7020000000000001,443558,120,Max Fried,0.0,Truist Park,12.0,608331,2.6,8.07,8.26,1.08,0.237,0.25,0.5,0.0,0.25,0.0,False
91,91,91,91,91,91,107,12179,Maikel Franco,WSN,29,0.229,0.256,0.338,0.742,596748,120,Max Fried,0.0,Truist Park,12.0,608331,2.6,8.07,8.26,1.08,0.237,0.5,0.8,0.333,0.0,0.0,True
92,92,92,92,92,92,108,1744,Miguel Cabrera,DET,39,0.268,0.317,0.331,0.7440000000000001,408234,116,Nathan Eovaldi,1.0,Comerica Park,25.0,543135,4.23,9.51,8.94,1.23,0.263,0.0,0.667,0.0,0.333,0.25,False
93,93,93,93,93,93,109,11737,Nick Castellanos,PHI,30,0.257,0.305,0.381,0.6970000000000001,592206,143,Max Scherzer,1.0,Citizens Bank Park,16.0,453286,1.98,6.49,11.29,0.9,0.2,0.5,0.333,0.0,0.25,0.25,True
94,94,94,94,94,94,110,10324,Marcell Ozuna,ATL,31,0.213,0.264,0.388,0.742,542303,144,Josiah Gray,1.0,Truist Park,12.0,680686,4.92,7.9,10.36,1.31,0.233,0.5,0.5,0.0,0.75,0.25,False
