,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
52,52,59,5827,Wilmer Flores,SFG,30,0.251,0.334,0.444,0.8290000000000001,527038,137,Tyler Mahle,1,Oracle Park,9,641816,6.0,7.5,7.5,1.0,0.238,0.5,1.0,0.4,0.0,0.667,False
53,53,61,11477,Christian Yelich,MIL,30,0.262,0.365,0.39,0.7829999999999999,592885,158,Jose Berrios,1,American Family Field,18,621244,5.19,9.92,8.16,1.35,0.275,0.2,0.667,0.5,0.4,0.333,True
54,54,62,16426,Thairo Estrada,SFG,26,0.269,0.319,0.42,0.813,642731,137,Tyler Mahle,1,Oracle Park,9,641816,6.0,7.5,7.5,1.0,0.238,0.333,0.333,0.0,0.4,0.25,True
55,55,63,20126,Dylan Carlson,STL,23,0.241,0.31,0.398,0.772,666185,138,Alec Mills,1,Busch Stadium,15,621219,9.68,14.26,5.6,1.75,0.364,0.333,0.333,0.0,0.333,0.0,True
56,56,64,17273,Jorge Mateo,BAL,27,0.218,0.267,0.391,0.6970000000000001,622761,110,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.667,0.0,0.25,0.0,0.0,False
57,57,65,16478,Kyle Schwarber,PHI,29,0.207,0.31,0.499,0.72,656941,143,Yu Darvish,0,Petco Park,31,506433,3.28,7.24,8.84,1.0,0.217,0.25,0.0,0.5,0.25,0.25,True
58,58,66,14551,Anthony Santander,BAL,27,0.262,0.342,0.463,0.805,623993,110,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.0,0.0,0.5,0.0,1.0,True
59,59,68,14162,Carlos Correa,MIN,27,0.265,0.342,0.431,0.7829999999999999,621043,142,Ryan Feltner,1,Target Field,26,663372,6.02,10.1,7.96,1.42,0.28,0.25,0.25,0.75,0.4,0.2,True
60,60,69,11445,Mark Canha,NYM,33,0.266,0.366,0.37,0.7909999999999999,592192,121,Daniel Castano,0,loanDepot park,20,641447,4.04,10.6,5.05,1.43,0.292,0.0,0.25,0.0,0.25,0.0,False
61,61,70,12144,Max Kepler,MIN,29,0.233,0.331,0.373,0.813,596146,142,Ryan Feltner,1,Target Field,26,663372,6.02,10.1,7.96,1.42,0.28,0.0,0.25,0.0,0.333,0.2,True
