,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
77,77,77,77,77,89,19238,Lourdes Gurriel Jr.,TOR,28,0.309,0.361,0.421,0.797,666971,141,Ryan Yarbrough,0,Tropicana Field,21,642232,5.08,9.85,6.35,1.36,0.277,0.0,0.0,0.333,0.0,0.0,True
78,78,78,78,78,90,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Zac Gallen,0,Chase Field,13,668678,3.12,6.62,8.67,1.02,0.203,0.0,0.5,0.0,0.25,0.0,False
79,79,79,79,79,92,18564,Trent Grisham,SDP,25,0.192,0.29,0.355,0.772,663757,135,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,0.23,1.0,0.0,0.0,0.0,0.0,True
80,80,80,80,80,93,6184,J.D. Martinez,BOS,34,0.281,0.345,0.447,0.716,502110,111,Glenn Otto,0,Globe Life Field,14,657248,5.31,8.19,7.38,1.41,0.247,0.5,0.5,0.2,0.25,0.2,True
81,81,81,81,81,94,15223,Adam Frazier,SEA,30,0.243,0.306,0.31,0.878,624428,136,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,0.23,0.0,0.5,0.75,0.0,0.667,False
82,82,82,82,82,95,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Bruce Zimmermann,1,Comerica Park,25,669145,5.85,11.84,6.12,1.48,0.322,0.25,0.0,0.0,0.25,0.667,True
83,83,83,83,83,97,19290,Randy Arozarena,TBR,27,0.256,0.317,0.416,0.7240000000000001,668227,139,Hyun Jin Ryu,1,Tropicana Field,21,547943,5.67,10.67,5.33,1.33,0.294,0.0,0.0,0.0,0.25,0.333,True
84,84,84,84,84,99,13301,Max Muncy,LAD,31,0.178,0.316,0.349,0.753,571970,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,0.2,0.333,0.0,0.333,0.0,False
85,85,85,85,85,100,7802,Miguel Rojas,MIA,33,0.233,0.282,0.335,0.852,500743,146,Eric Lauer,1,loanDepot park,20,641778,3.59,7.75,8.87,1.22,0.23,0.0,0.25,0.4,0.333,0.333,True
86,86,86,86,86,101,26197,Andrew Vaughn,CHW,24,0.298,0.348,0.464,0.826,683734,145,Jordan Montgomery,1,Guaranteed Rate Field,23,656756,0.0,3.6,1.8,0.6,0.125,0.0,0.333,0.5,0.0,0.25,True
87,87,87,87,87,103,12979,Javier Baez,DET,29,0.22,0.262,0.372,0.674,595879,116,Bruce Zimmermann,1,Comerica Park,25,669145,5.85,11.84,6.12,1.48,0.322,0.0,0.0,0.25,0.0,0.2,True
88,88,88,88,88,104,15679,Rowdy Tellez,MIL,27,0.238,0.323,0.475,0.797,642133,158,Trevor Rogers,0,loanDepot park,20,669432,5.85,10.16,8.52,1.6,0.283,0.0,0.25,0.0,0.25,0.0,True
89,89,89,89,89,105,10681,Gio Urshela,MIN,30,0.262,0.304,0.423,0.807,570482,142,Shane Bieber,1,Target Field,26,669456,3.21,7.86,9.16,1.09,0.233,0.25,0.0,0.333,0.0,0.25,True
90,90,90,90,90,106,13590,Jesse Winker,SEA,28,0.229,0.348,0.363,0.815,608385,136,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,0.23,0.333,0.25,0.25,0.333,0.25,True
91,91,91,91,91,107,16512,Isiah Kiner-Falefa,NYY,27,0.268,0.312,0.315,0.892,643396,147,Dallas Keuchel,0,Guaranteed Rate Field,23,572971,9.64,13.02,8.68,1.82,0.329,0.667,0.0,0.0,0.0,0.0,True
92,92,92,92,92,108,7859,Charlie Blackmon,COL,35,0.263,0.314,0.446,0.816,453568,115,Carlos Hernandez,1,Coors Field,1,672578,9.09,13.9,4.81,2.14,0.359,0.2,0.0,0.0,0.25,0.0,True
93,93,93,93,93,109,24655,Owen Miller,CLE,25,0.238,0.296,0.359,0.8370000000000001,680911,114,Devin Smeltzer,0,Target Field,26,656970,4.02,8.47,5.31,1.21,0.25,0.0,0.25,0.167,0.333,0.25,True
94,94,94,94,94,111,16572,Connor Joe,COL,29,0.246,0.347,0.363,0.809,656582,115,Carlos Hernandez,1,Coors Field,1,672578,9.09,13.9,4.81,2.14,0.359,0.333,0.4,0.75,0.25,0.2,False
95,95,95,95,95,114,14894,Tony Kemp,OAK,30,0.212,0.285,0.3,0.8740000000000001,643393,133,Jhonathan Diaz,1,Oakland Coliseum,19,646242,2.93,7.63,6.46,1.5,0.236,0.0,0.25,0.0,0.333,0.5,True
96,96,96,96,96,115,15117,Hunter Dozier,KCR,30,0.245,0.309,0.411,0.733,641531,118,German Marquez,0,Coors Field,1,608566,5.18,9.54,7.25,1.41,0.27,1.0,0.0,0.0,0.667,0.0,True
97,97,97,97,97,116,11342,Jesus Aguilar,MIA,32,0.241,0.287,0.391,0.745,542583,146,Eric Lauer,1,loanDepot park,20,641778,3.59,7.75,8.87,1.22,0.23,0.25,1.0,0.0,0.25,0.5,True
98,98,98,98,98,117,10556,Cesar Hernandez,WSN,32,0.238,0.302,0.303,0.8109999999999999,514917,120,Cristian Javier,1,Nationals Park,29,664299,3.14,6.19,11.84,1.05,0.191,0.25,0.0,0.75,0.0,0.6,False
99,99,99,99,99,118,19198,Yuli Gurriel,HOU,38,0.238,0.287,0.38,0.86,493329,117,Erick Fedde,0,Nationals Park,29,607200,4.95,9.32,6.8,1.54,0.269,0.5,0.2,0.25,0.0,0.0,True
100,100,100,100,100,119,18607,Jared Walsh,LAA,28,0.225,0.27,0.392,0.753,665120,108,Paul Blackburn,0,Oakland Coliseum,19,621112,4.28,8.89,7.19,1.26,0.255,0.0,0.0,0.6,0.25,0.333,True
101,101,101,101,101,120,5760,Avisail Garcia,MIA,31,0.232,0.269,0.322,0.654,541645,146,Eric Lauer,1,loanDepot park,20,641778,3.59,7.75,8.87,1.22,0.23,0.0,0.5,0.25,0.5,0.2,True
102,102,102,102,102,122,11200,Kole Calhoun,TEX,34,0.211,0.269,0.363,0.654,594777,140,Rich Hill,1,Globe Life Field,14,448179,4.75,9.39,6.84,1.35,0.266,0.75,0.333,0.25,0.0,0.25,True
103,103,103,103,103,123,2434,Nelson Cruz,WSN,41,0.233,0.318,0.342,0.7020000000000001,443558,120,Cristian Javier,1,Nationals Park,29,664299,3.14,6.19,11.84,1.05,0.191,0.5,0.0,0.333,0.5,0.5,True
104,104,104,104,104,124,12179,Maikel Franco,WSN,29,0.229,0.256,0.338,0.742,596748,120,Cristian Javier,1,Nationals Park,29,664299,3.14,6.19,11.84,1.05,0.191,0.25,0.0,0.0,0.333,0.25,True
105,105,105,105,105,125,1744,Miguel Cabrera,DET,39,0.268,0.317,0.331,0.7440000000000001,408234,116,Bruce Zimmermann,1,Comerica Park,25,669145,5.85,11.84,6.12,1.48,0.322,0.5,0.25,0.75,0.25,0.0,True
106,106,106,106,106,126,11737,Nick Castellanos,PHI,30,0.257,0.305,0.381,0.6970000000000001,592206,143,Julio Urias,0,Dodger Stadium,17,628711,2.49,6.97,8.58,0.97,0.21,0.333,0.0,0.0,0.333,0.75,True
107,107,107,107,107,127,10324,Marcell Ozuna,ATL,31,0.213,0.264,0.388,0.742,542303,144,Sean Manaea,1,Truist Park,12,640455,4.74,8.53,9.32,1.32,0.247,0.2,0.0,0.0,0.0,0.25,True
