,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
53,53,53,60,18171,Seth Brown,OAK,29,0.238,0.295,0.463,0.732,664913,133,Dane Dunning,1,Oakland Coliseum,19,641540,4.04,8.79,7.84,1.36,0.257,0.333,0.333,0.0,0.667,0.2,1.0,True
54,54,54,62,8709,Elvis Andrus,OAK,33,0.24,0.302,0.371,0.81,462101,133,Dane Dunning,1,Oakland Coliseum,19,641540,4.04,8.79,7.84,1.36,0.257,0.0,0.25,0.0,0.333,0.5,0.5,True
55,55,55,65,21618,Alec Bohm,PHI,25,0.294,0.33,0.413,0.8009999999999999,664761,143,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,0.23,0.333,0.0,0.4,0.0,0.4,0.25,False
56,56,56,67,15279,Garrett Cooper,MIA,31,0.275,0.348,0.424,0.7959999999999999,643265,146,Max Fried,0,Truist Park,12,608331,2.6,8.07,8.26,1.08,0.237,0.4,0.5,0.5,0.25,0.5,0.0,False
57,57,57,68,14854,Mike Yastrzemski,SFG,31,0.22,0.315,0.393,0.797,573262,137,Tyler Mahle,0,Great American Ball Park,8,641816,6.0,7.5,7.5,1.0,0.238,0.0,0.5,0.0,0.333,0.667,0.25,False
58,58,58,70,19339,Nicky Lopez,KCR,27,0.248,0.305,0.294,0.838,670032,118,Sonny Gray,0,Target Field,26,543243,3.19,7.29,8.43,1.11,0.219,0.5,0.0,0.75,0.0,0.0,0.2,True
59,59,59,71,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Dylan Cease,0,Guaranteed Rate Field,23,656302,1.98,6.53,12.18,1.16,0.198,0.0,0.25,0.0,0.0,0.4,0.25,True
60,60,60,72,18373,Ryan Mountcastle,BAL,25,0.258,0.3,0.441,0.722,663624,110,Nick Pivetta,0,Fenway Park,3,601713,4.51,8.73,8.66,1.33,0.253,0.267,0.0,0.25,0.25,0.0,0.4,True
61,61,61,73,6184,J.D. Martinez,BOS,34,0.281,0.345,0.447,0.716,502110,111,Bruce Zimmermann,1,Fenway Park,3,669145,5.85,11.84,6.12,1.48,0.322,0.286,0.25,0.333,0.6,0.667,0.8,True
62,62,62,74,6153,Eduardo Escobar,NYM,33,0.22,0.273,0.39,0.753,500871,121,Zack Wheeler,1,Citi Field,22,554430,2.63,7.25,9.73,1.03,0.218,0.2,0.25,0.0,0.25,0.8,0.4,True
63,63,63,75,15223,Adam Frazier,SEA,30,0.243,0.306,0.31,0.878,624428,136,Luis Garcia,1,T-Mobile Park,27,472610,3.51,8.78,9.44,1.27,0.252,0.0,0.25,0.2,0.25,0.0,0.2,True
64,64,64,76,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Triston McKenzie,1,Comerica Park,25,663474,3.16,6.33,8.51,0.96,0.197,0.143,0.25,0.333,0.0,0.5,0.4,False
65,65,65,77,19566,Nathaniel Lowe,TEX,26,0.282,0.332,0.461,0.775,663993,140,James Kaprielian,0,Oakland Coliseum,19,621076,4.38,7.97,6.28,1.32,0.235,0.308,0.5,0.75,0.333,0.0,0.333,True
66,66,66,80,7802,Miguel Rojas,MIA,33,0.233,0.282,0.335,0.852,500743,146,Max Fried,0,Truist Park,12,608331,2.6,8.07,8.26,1.08,0.237,0.333,0.75,0.0,0.25,0.0,0.0,True
67,67,67,81,15679,Rowdy Tellez,MIL,27,0.238,0.323,0.475,0.797,642133,158,Miles Mikolas,0,Busch Stadium,15,571945,3.5,8.09,6.88,1.09,0.239,0.5,0.0,0.25,0.25,0.25,0.333,True
68,68,68,82,10681,Gio Urshela,MIN,30,0.262,0.304,0.423,0.807,570482,142,Zack Greinke,1,Target Field,26,425844,4.58,10.04,5.07,1.33,0.28,0.5,0.0,0.6,0.25,0.25,0.75,True
69,69,69,83,13590,Jesse Winker,SEA,28,0.229,0.348,0.363,0.815,608385,136,Luis Garcia,1,T-Mobile Park,27,472610,3.51,8.78,9.44,1.27,0.252,0.0,0.25,0.0,0.4,0.0,0.25,False
70,70,70,84,7859,Charlie Blackmon,COL,35,0.263,0.314,0.446,0.816,453568,115,Josiah Gray,0,Nationals Park,29,680686,4.92,7.9,10.36,1.31,0.233,0.143,0.6,0.4,0.25,0.333,0.25,True
