,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
10,10,10,10,10,11,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Kyle Hendricks,1.0,Petco Park,31.0,543294,4.8,9.07,7.04,1.29,0.26,0.0,0.25,0.333,0.0,0.0,0.0,False
11,11,11,11,11,12,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.167,0.0,0.25,0.25,0.5,0.0,False
12,12,12,12,12,13,19918,Daulton Varsho,ARI,25,0.239,0.314,0.431,0.7809999999999999,662139,109,Elieser Hernandez,1.0,Chase Field,13.0,622694,6.0,9.33,8.83,1.39,0.26,0.5,0.25,0.25,0.5,0.25,0.5,True
13,13,13,13,13,15,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Julio Urias,1.0,PNC Park,10.0,628711,2.49,6.97,8.58,0.97,0.21,0.333,0.25,0.6,0.0,0.0,0.333,True
14,14,14,14,14,16,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.92,9.0,6.23,1.37,0.257,0.25,0.25,0.0,0.0,0.25,0.25,True
15,15,15,15,15,17,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Ranger Suarez,1.0,T-Mobile Park,27.0,624133,3.68,8.97,7.62,1.37,0.258,1.0,0.0,0.0,0.667,0.25,0.333,False
16,16,16,16,16,18,19287,Adolis Garcia,TEX,29,0.248,0.298,0.456,0.677,666969,140,Nestor Cortes,0.0,Yankee Stadium,6.0,641482,2.57,6.91,9.24,1.02,0.208,0.0,0.5,0.25,0.0,0.0,0.6,False
17,17,17,17,17,19,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Jon Gray,1.0,Yankee Stadium,6.0,592351,3.83,7.58,10.1,1.17,0.224,0.167,0.333,0.0,0.0,0.2,0.0,True
18,18,18,18,18,20,19755,Shohei Ohtani,LAA,27,0.256,0.348,0.501,0.741,660271,108,Jeffrey Springs,1.0,Angel Stadium,4.0,605488,2.5,7.94,9.42,1.08,0.233,0.25,0.25,0.25,0.0,0.5,0.0,True
19,19,19,19,19,21,20043,Luis Robert,CHW,24,0.298,0.334,0.453,0.755,673357,145,Zach Plesac,1.0,Guaranteed Rate Field,23.0,668676,4.49,9.39,6.9,1.35,0.262,0.538,0.25,0.4,0.25,0.667,0.75,True
20,20,20,20,20,22,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Michael Kopech,0.0,Guaranteed Rate Field,23.0,656629,3.38,6.66,7.75,1.23,0.204,0.333,0.0,0.25,0.0,0.2,0.333,True
21,21,21,21,21,23,12533,Marcus Semien,TEX,31,0.239,0.298,0.403,0.8079999999999999,543760,140,Nestor Cortes,0.0,Yankee Stadium,6.0,641482,2.57,6.91,9.24,1.02,0.208,0.4,0.5,0.0,0.667,0.4,0.0,False
22,22,22,22,22,24,15172,Tim Anderson,CHW,29,0.301,0.339,0.395,0.795,641313,145,Zach Plesac,1.0,Guaranteed Rate Field,23.0,668676,4.49,9.39,6.9,1.35,0.262,0.19,0.5,0.6,0.0,0.333,0.25,True
23,23,23,23,23,25,17929,Cedric Mullins II,BAL,27,0.261,0.321,0.39,0.816,656775,110,Carlos Hernandez,1.0,Oriole Park at Camden Yards,30.0,672578,9.09,13.9,4.81,2.14,0.359,0.0,0.4,0.2,0.667,0.4,0.2,False
24,24,24,24,24,26,12546,C.J. Cron,COL,32,0.28,0.33,0.514,0.778,543068,115,Carlos Rodon,0.0,Oracle Park,9.0,607074,2.95,6.87,11.29,1.07,0.209,0.556,0.0,0.667,0.25,0.5,0.25,False
25,25,25,25,25,27,5827,Wilmer Flores,SFG,30,0.251,0.334,0.444,0.8290000000000001,527038,137,Austin Gomber,1.0,Oracle Park,9.0,596295,5.64,9.99,6.93,1.41,0.283,0.429,0.333,0.333,0.0,0.5,0.25,True
26,26,26,26,26,28,11477,Christian Yelich,MIL,30,0.262,0.365,0.39,0.7829999999999999,592885,158,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.214,0.0,0.25,0.4,0.6,0.5,False
27,27,27,27,27,29,16426,Thairo Estrada,SFG,26,0.269,0.319,0.42,0.813,642731,137,Austin Gomber,1.0,Oracle Park,9.0,596295,5.64,9.99,6.93,1.41,0.283,0.5,0.0,0.25,0.5,0.0,0.0,True
28,28,28,28,28,30,17273,Jorge Mateo,BAL,27,0.218,0.267,0.391,0.6970000000000001,622761,110,Carlos Hernandez,1.0,Oriole Park at Camden Yards,30.0,672578,9.09,13.9,4.81,2.14,0.359,0.5,0.25,0.25,0.667,0.25,0.0,True
29,29,29,29,29,31,13613,Ketel Marte,ARI,28,0.261,0.346,0.445,0.804,606466,109,Elieser Hernandez,1.0,Chase Field,13.0,622694,6.0,9.33,8.83,1.39,0.26,0.167,0.75,0.333,0.333,1.0,0.25,True
